,PID,NAME,STATUS
0,0,System Idle Process,running
1,4,System,running
2,124,Registry,running
3,436,smss.exe,running
4,500,CompPkgSrv.exe,running
5,576,svchost.exe,running
6,584,MoUsoCoreWorker.exe,running
7,608,fontdrvhost.exe,running
8,660,csrss.exe,running
9,888,wininit.exe,running
10,912,svchost.exe,running
11,956,WUDFHost.exe,running
12,960,services.exe,running
13,968,lsass.exe,running
14,1160,svchost.exe,running
15,1240,svchost.exe,running
16,1264,msedge.exe,running
17,1336,svchost.exe,running
18,1496,svchost.exe,running
19,1528,svchost.exe,running
20,1548,svchost.exe,running
21,1556,svchost.exe,running
22,1644,svchost.exe,running
23,1656,svchost.exe,running
24,1700,RuntimeBroker.exe,running
25,1764,svchost.exe,running
26,1788,svchost.exe,running
27,1812,svchost.exe,running
28,1852,IntelCpHDCPSvc.exe,running
29,1880,svchost.exe,running
30,1912,svchost.exe,running
31,1940,svchost.exe,running
32,2032,svchost.exe,running
33,2056,svchost.exe,running
34,2128,svchost.exe,running
35,2280,IntelCpHeciSvc.exe,running
36,2328,igfxCUIService.exe,running
37,2436,svchost.exe,running
38,2480,svchost.exe,running
39,2552,svchost.exe,running
40,2596,nvcontainer.exe,running
41,2604,svchost.exe,running
42,2612,NVDisplay.Container.exe,running
43,2692,svchost.exe,running
44,2788,dasHost.exe,running
45,2804,svchost.exe,running
46,2852,ETDService.exe,running
47,2860,svchost.exe,running
48,2868,svchost.exe,running
49,2876,svchost.exe,running
50,2960,svchost.exe,running
51,2976,MemCompression,running
52,3028,svchost.exe,running
53,3060,python.exe,running
54,3080,svchost.exe,running
55,3192,chrome.exe,running
56,3268,svchost.exe,running
57,3340,svchost.exe,running
58,3420,svchost.exe,running
59,3432,svchost.exe,running
60,3480,chrome.exe,running
61,3488,csrss.exe,running
62,3584,svchost.exe,running
63,3724,svchost.exe,running
64,3732,svchost.exe,running
65,3740,svchost.exe,running
66,3748,QHActiveDefense.exe,running
67,3788,svchost.exe,running
68,3796,svchost.exe,running
69,3904,winlogon.exe,running
70,3916,svchost.exe,running
71,4056,svchost.exe,running
72,4152,spoolsv.exe,running
73,4228,svchost.exe,running
74,4284,svchost.exe,running
75,4300,svchost.exe,running
76,4316,svchost.exe,running
77,4832,gameinputsvc.exe,running
78,4844,FMService64.exe,running
79,4852,svchost.exe,running
80,4860,svchost.exe,running
81,4868,OneApp.IGCC.WinService.exe,running
82,4876,svchost.exe,running
83,4884,DAX3API.exe,running
84,4892,svchost.exe,running
85,4900,nvcontainer.exe,running
86,4920,RstMwService.exe,running
87,4928,svchost.exe,running
88,4936,RtkBtManServ.exe,running
89,4952,svchost.exe,running
90,4960,RtkAudUService64.exe,running
91,4972,svchost.exe,running
92,4988,OfficeClickToRun.exe,running
93,5000,svchost.exe,running
94,5024,LMS.exe,running
95,5048,svchost.exe,running
96,5056,svchost.exe,running
97,5068,esif_uf.exe,running
98,5372,svchost.exe,running
99,5496,jhi_service.exe,running
100,5540,svchost.exe,running
101,5832,svchost.exe,running
102,5892,svchost.exe,running
103,6036,conhost.exe,running
104,6172,chrome.exe,running
105,6284,gamingservices.exe,running
106,6292,svchost.exe,running
107,6304,gamingservicesnet.exe,running
108,6348,svchost.exe,running
109,6628,chrome.exe,running
110,6884,taskhostw.exe,running
111,6900,svchost.exe,running
112,7256,msedge.exe,running
113,7324,svchost.exe,running
114,7372,svchost.exe,running
115,7460,SearchFilterHost.exe,running
116,7544,fontdrvhost.exe,running
117,7580,wpscenter.exe,running
118,7620,svchost.exe,running
119,7712,ApplicationFrameHost.exe,running
120,7828,chrome.exe,running
121,8052,PresentationFontCache.exe,running
122,8064,svchost.exe,running
123,8104,svchost.exe,running
124,8252,svchost.exe,running
125,8408,conhost.exe,running
126,8544,pycharm64.exe,running
127,8712,QHWatchdog.exe,running
128,8844,PhoneExperienceHost.exe,running
129,8932,svchost.exe,running
130,9176,MusNotifyIcon.exe,running
131,9192,RuntimeBroker.exe,running
